date,year,location,species,type,count
6/27,1978,Kogrukluk River,Sockeye,Estimated,0
6/27,1979,Kogrukluk River,Chinook,Estimated,0
6/27,1979,Kogrukluk River,Chum,Estimated,0
6/27,1979,Kogrukluk River,Sockeye,Estimated,0
6/27,1981,Kogrukluk River,Chinook,Estimated,19
6/27,1981,Kogrukluk River,Chum,Estimated,389
6/27,1981,Kogrukluk River,Coho,Estimated,0
6/27,1981,Kogrukluk River,Sockeye,Estimated,152
6/27,1982,Kogrukluk River,Chinook,Estimated,5
6/27,1982,Kogrukluk River,Chum,Estimated,0
6/27,1982,Kogrukluk River,Coho,Estimated,0
6/27,1982,Kogrukluk River,Sockeye,Estimated,1
6/27,1983,Kogrukluk River,Chinook,Counted Live,6
6/27,1983,Kogrukluk River,Chum,Counted Live,65
6/27,1983,Kogrukluk River,Coho,Counted Live,0
6/27,1983,Kogrukluk River,Sockeye,Counted Live,0
6/27,1984,Kogrukluk River,Chinook,Counted Live,4
6/27,1984,Kogrukluk River,Chum,Counted Live,43
6/27,1984,Kogrukluk River,Coho,Counted Live,0
6/27,1984,Kogrukluk River,Sockeye,Counted Live,2
6/27,1985,Kogrukluk River,Chinook,Estimated,0
6/27,1985,Kogrukluk River,Chum,Estimated,0
6/27,1985,Kogrukluk River,Coho,Estimated,0
6/27,1985,Kogrukluk River,Sockeye,Estimated,0
6/27,1986,Kogrukluk River,Chum,Estimated,0
6/27,1986,Kogrukluk River,Coho,Estimated,0
6/27,1986,Kogrukluk River,Sockeye,Estimated,0
6/27,1987,Kogrukluk River,Coho,Estimated,0
6/27,1988,Kogrukluk River,Chinook,Estimated,0
6/27,1988,Kogrukluk River,Chum,Estimated,0
6/27,1988,Kogrukluk River,Coho,Estimated,0
6/27,1988,Kogrukluk River,Sockeye,Estimated,0
6/27,1990,Kogrukluk River,Chinook,Estimated,0
6/27,1990,Kogrukluk River,Chum,Estimated,1
6/27,1990,Kogrukluk River,Coho,Estimated,0
6/27,1990,Kogrukluk River,Sockeye,Estimated,0
6/27,1991,Kogrukluk River,Chinook,Estimated,0
6/27,1991,Kogrukluk River,Chum,Estimated,0
6/27,1991,Kogrukluk River,Coho,Estimated,0
6/27,1991,Kogrukluk River,Sockeye,Estimated,0
6/27,1992,Kogrukluk River,Chinook,Estimated,0
6/27,1992,Kogrukluk River,Chum,Estimated,1019
6/27,1992,Kogrukluk River,Sockeye,Estimated,0
6/27,1993,Kogrukluk River,Chinook,Estimated,0
6/27,1993,Kogrukluk River,Chum,Estimated,0
6/27,1993,Kogrukluk River,Sockeye,Estimated,0
6/27,1994,Kogrukluk River,Coho,Estimated,0
6/27,1995,Kogrukluk River,Chinook,Estimated,1
6/27,1995,Kogrukluk River,Chum,Estimated,13
6/27,1995,Kogrukluk River,Sockeye,Estimated,0
6/27,1996,Kogrukluk River,Chinook,Estimated,0
6/27,1996,Kogrukluk River,Chum,Estimated,16
6/27,1996,Kogrukluk River,Coho,Estimated,0
6/27,1996,Kogrukluk River,Sockeye,Estimated,0
6/27,1997,Kogrukluk River,Chinook,Estimated,32
6/27,1997,Kogrukluk River,Chum,Estimated,5
6/27,1997,Kogrukluk River,Coho,Estimated,0
6/27,1997,Kogrukluk River,Sockeye,Estimated,0
6/27,1998,Kogrukluk River,Coho,Estimated,0
6/27,1998,Kogrukluk River,Sockeye,Estimated,0
6/27,1999,Kogrukluk River,Chinook,Estimated,0
6/27,1999,Kogrukluk River,Chum,Estimated,0
6/27,1999,Kogrukluk River,Coho,Estimated,0
6/27,1999,Kogrukluk River,Sockeye,Estimated,0
6/27,2000,Kogrukluk River,Chinook,Estimated,0
6/27,2000,Kogrukluk River,Chum,Estimated,0
6/27,2000,Kogrukluk River,Coho,Estimated,0
6/27,2000,Kogrukluk River,Sockeye,Estimated,0
6/27,2001,Kogrukluk River,Chinook,Estimated,0
6/27,2001,Kogrukluk River,Chum,Estimated,0
6/27,2001,Kogrukluk River,Coho,Estimated,0
6/27,2001,Kogrukluk River,Sockeye,Estimated,0
6/27,2002,Kogrukluk River,Chinook,Counted Live,143
6/27,2002,Kogrukluk River,Chum,Counted Live,630
6/27,2002,Kogrukluk River,Coho,Counted Live,0
6/27,2002,Kogrukluk River,Sockeye,Counted Live,5
6/27,2003,Kogrukluk River,Chinook,Counted Live,24
6/27,2003,Kogrukluk River,Chum,Counted Live,34
6/27,2003,Kogrukluk River,Coho,Counted Live,0
6/27,2003,Kogrukluk River,Sockeye,Counted Live,1
6/27,2004,Kogrukluk River,Chinook,Counted Live,108
6/27,2004,Kogrukluk River,Chum,Counted Live,149
6/27,2004,Kogrukluk River,Coho,Counted Live,0
6/27,2004,Kogrukluk River,Sockeye,Counted Live,3
6/27,2005,Kogrukluk River,Chinook,Counted Live,36
6/27,2005,Kogrukluk River,Chum,Counted Live,25
6/27,2005,Kogrukluk River,Coho,Counted Live,0
6/27,2005,Kogrukluk River,Sockeye,Counted Live,6
6/27,2006,Kogrukluk River,Chinook,Estimated,0
6/27,2006,Kogrukluk River,Chum,Estimated,23
6/27,2006,Kogrukluk River,Coho,Estimated,0
6/27,2006,Kogrukluk River,Sockeye,Estimated,0
6/27,2007,Kogrukluk River,Chinook,Counted Live,1
6/27,2007,Kogrukluk River,Chum,Counted Live,22
6/27,2007,Kogrukluk River,Coho,Counted Live,0
6/27,2007,Kogrukluk River,Sockeye,Counted Live,0
6/27,2008,Kogrukluk River,Chinook,Estimated,0
6/27,2008,Kogrukluk River,Chum,Estimated,0
6/27,2008,Kogrukluk River,Coho,Estimated,0
6/27,2008,Kogrukluk River,Sockeye,Estimated,0
6/27,2009,Kogrukluk River,Chinook,Counted Live,0
6/27,2009,Kogrukluk River,Chum,Counted Live,15
6/27,2009,Kogrukluk River,Coho,Counted Live,0
6/27,2009,Kogrukluk River,Sockeye,Counted Live,1
6/27,2010,Kogrukluk River,Chinook,Counted Live,1
6/27,2010,Kogrukluk River,Chum,Counted Live,1
6/27,2010,Kogrukluk River,Coho,Counted Live,0
6/27,2010,Kogrukluk River,Sockeye,Counted Live,0
6/27,2011,Kogrukluk River,Chinook,Counted Live,0
6/27,2011,Kogrukluk River,Chum,Counted Live,15
6/27,2011,Kogrukluk River,Coho,Counted Live,0
6/27,2011,Kogrukluk River,Sockeye,Counted Live,0
6/27,2012,Kogrukluk River,Coho,Estimated,0
6/27,2013,Kogrukluk River,Chinook,Estimated,0
6/27,2013,Kogrukluk River,Chum,Estimated,0
