date,year,location,species,type,count
6/20,2003,Tuluksak River,Pink,Counted Live,0
6/20,2003,Tuluksak River,Sockeye,Counted Live,0
6/20,2004,Tuluksak River,Chinook,Counted Live,0
6/20,2004,Tuluksak River,Chum,Counted Live,0
6/20,2004,Tuluksak River,Coho,Counted Live,0
6/20,2004,Tuluksak River,Pink,Counted Live,0
6/20,2004,Tuluksak River,Sockeye,Counted Live,0
6/20,2007,Tuluksak River,Chinook,Counted Live,0
6/20,2007,Tuluksak River,Chum,Counted Live,0
6/20,2007,Tuluksak River,Coho,Counted Live,0
6/20,2007,Tuluksak River,Pink,Counted Live,0
6/20,2007,Tuluksak River,Sockeye,Counted Live,0
6/20,2010,Tuluksak River,Sockeye,Counted Live,0
6/20,2011,Tuluksak River,Chinook,Counted Live,0
6/20,2011,Tuluksak River,Chum,Counted Live,0
6/20,2011,Tuluksak River,Coho,Counted Live,0
6/20,2011,Tuluksak River,Pink,Counted Live,0
6/20,2011,Tuluksak River,Sockeye,Counted Live,0
6/20,2014,Tuluksak River,Chinook,Counted Live,
6/20,2014,Tuluksak River,Chum,Counted Live,0
6/20,2014,Tuluksak River,Coho,Counted Live,0
6/20,2014,Tuluksak River,Sockeye,Counted Live,0
6/20,2015,Tuluksak River,Chinook,Counted Live,0
6/20,2015,Tuluksak River,Chum,Counted Live,1
6/20,2015,Tuluksak River,Coho,Counted Live,0
6/20,2015,Tuluksak River,Sockeye,Counted Live,0
6/20,2016,Tuluksak River,Chinook,Counted Live,0
6/20,2016,Tuluksak River,Chum,Counted Live,0
6/20,2016,Tuluksak River,Coho,Counted Live,0
6/20,2016,Tuluksak River,Sockeye,Counted Live,0
6/20,2017,Tuluksak River,Chinook,Counted Live,0
6/20,2017,Tuluksak River,Chum,Counted Live,0
6/20,2017,Tuluksak River,Coho,Counted Live,0
6/20,2017,Tuluksak River,Sockeye,Counted Live,0
6/21,1991,Tuluksak River,Chinook,Counted Live,0
6/21,1991,Tuluksak River,Chum,Counted Live,0
6/21,1991,Tuluksak River,Coho,Counted Live,0
6/21,1991,Tuluksak River,Pink,Counted Live,0
6/21,1991,Tuluksak River,Sockeye,Counted Live,0
6/21,1993,Tuluksak River,Chinook,Counted Live,0
6/21,1993,Tuluksak River,Chum,Counted Live,10
6/21,1993,Tuluksak River,Coho,Counted Live,0
6/21,1993,Tuluksak River,Pink,Counted Live,0
6/21,1993,Tuluksak River,Sockeye,Counted Live,0
6/21,2002,Tuluksak River,Chinook,Counted Live,1
6/21,2002,Tuluksak River,Chum,Counted Live,0
6/21,2002,Tuluksak River,Coho,Counted Live,0
6/21,2002,Tuluksak River,Pink,Counted Live,0
6/21,2002,Tuluksak River,Sockeye,Counted Live,0
6/21,2003,Tuluksak River,Chinook,Counted Live,0
6/21,2003,Tuluksak River,Chum,Counted Live,2
6/21,2003,Tuluksak River,Coho,Counted Live,0
6/21,2003,Tuluksak River,Pink,Counted Live,0
6/21,2003,Tuluksak River,Sockeye,Counted Live,0
6/21,2004,Tuluksak River,Chinook,Counted Live,0
6/21,2004,Tuluksak River,Chum,Counted Live,0
6/21,2004,Tuluksak River,Coho,Counted Live,0
6/21,2004,Tuluksak River,Pink,Counted Live,0
6/21,2004,Tuluksak River,Sockeye,Counted Live,0
6/21,2007,Tuluksak River,Chinook,Counted Live,0
6/21,2007,Tuluksak River,Chum,Counted Live,0
6/21,2007,Tuluksak River,Coho,Counted Live,0
6/21,2007,Tuluksak River,Pink,Counted Live,0
6/21,2007,Tuluksak River,Sockeye,Counted Live,0
6/21,2010,Tuluksak River,Sockeye,Counted Live,0
6/21,2011,Tuluksak River,Chinook,Counted Live,0
6/21,2011,Tuluksak River,Chum,Counted Live,0
6/21,2011,Tuluksak River,Coho,Counted Live,0
6/21,2011,Tuluksak River,Pink,Counted Live,0
6/21,2011,Tuluksak River,Sockeye,Counted Live,0
6/21,2014,Tuluksak River,Chinook,Counted Live,
6/21,2014,Tuluksak River,Chum,Counted Live,0
6/21,2014,Tuluksak River,Coho,Counted Live,0
6/21,2014,Tuluksak River,Sockeye,Counted Live,0
6/21,2015,Tuluksak River,Chinook,Counted Live,8
6/21,2015,Tuluksak River,Chum,Counted Live,1
6/21,2015,Tuluksak River,Coho,Counted Live,0
6/21,2015,Tuluksak River,Sockeye,Counted Live,0
6/21,2016,Tuluksak River,Chinook,Counted Live,0
6/21,2016,Tuluksak River,Chum,Counted Live,3
6/21,2016,Tuluksak River,Coho,Counted Live,0
6/21,2016,Tuluksak River,Sockeye,Counted Live,1
6/21,2017,Tuluksak River,Chinook,Counted Live,1
6/21,2017,Tuluksak River,Chum,Counted Live,2
6/21,2017,Tuluksak River,Coho,Counted Live,0
6/21,2017,Tuluksak River,Sockeye,Counted Live,0
6/22,1991,Tuluksak River,Chinook,Counted Live,0
6/22,1991,Tuluksak River,Chum,Counted Live,0
6/22,1991,Tuluksak River,Coho,Counted Live,0
6/22,1991,Tuluksak River,Pink,Counted Live,0
6/22,1991,Tuluksak River,Sockeye,Counted Live,0
6/22,1993,Tuluksak River,Chinook,Counted Live,1
6/22,1993,Tuluksak River,Chum,Counted Live,2
6/22,1993,Tuluksak River,Coho,Counted Live,0
6/22,1993,Tuluksak River,Pink,Counted Live,0
6/22,1993,Tuluksak River,Sockeye,Counted Live,0
6/22,2002,Tuluksak River,Chinook,Counted Live,0
6/22,2002,Tuluksak River,Chum,Counted Live,15
6/22,2002,Tuluksak River,Coho,Counted Live,0
6/22,2002,Tuluksak River,Pink,Counted Live,0
6/22,2002,Tuluksak River,Sockeye,Counted Live,0
6/22,2003,Tuluksak River,Chinook,Counted Live,3
6/22,2003,Tuluksak River,Chum,Counted Live,0
6/22,2003,Tuluksak River,Coho,Counted Live,0
6/22,2003,Tuluksak River,Pink,Counted Live,0
6/22,2003,Tuluksak River,Sockeye,Counted Live,0
6/22,2004,Tuluksak River,Chinook,Counted Live,0
6/22,2004,Tuluksak River,Chum,Counted Live,0
6/22,2004,Tuluksak River,Coho,Counted Live,0
6/22,2004,Tuluksak River,Pink,Counted Live,0
6/22,2004,Tuluksak River,Sockeye,Counted Live,0
6/22,2007,Tuluksak River,Chinook,Counted Live,0
6/22,2007,Tuluksak River,Chum,Counted Live,0
6/22,2007,Tuluksak River,Coho,Counted Live,0
