date,year,location,species,type,count
6/26,2004,Takotna River,Coho,Counted Live,0
6/26,2004,Takotna River,Sockeye,Counted Live,0
6/26,2005,Takotna River,Chinook,Counted Live,4
6/26,2005,Takotna River,Chum,Counted Live,9
6/26,2005,Takotna River,Coho,Counted Live,0
6/26,2005,Takotna River,Sockeye,Counted Live,0
6/26,2006,Takotna River,Chinook,Counted Live,0
6/26,2006,Takotna River,Chum,Counted Live,32
6/26,2006,Takotna River,Coho,Counted Live,0
6/26,2006,Takotna River,Sockeye,Counted Live,0
6/26,2007,Takotna River,Chinook,Counted Live,0
6/26,2007,Takotna River,Chum,Counted Live,1
6/26,2007,Takotna River,Coho,Counted Live,0
6/26,2007,Takotna River,Sockeye,Counted Live,0
6/26,2008,Takotna River,Chinook,Counted Live,0
6/26,2008,Takotna River,Chum,Counted Live,7
6/26,2008,Takotna River,Coho,Counted Live,0
6/26,2008,Takotna River,Sockeye,Counted Live,0
6/26,2009,Takotna River,Chinook,Counted Live,2
6/26,2009,Takotna River,Chum,Counted Live,30
6/26,2009,Takotna River,Coho,Counted Live,0
6/26,2009,Takotna River,Sockeye,Counted Live,0
6/26,2010,Takotna River,Chinook,Estimated,0
6/26,2010,Takotna River,Chum,Estimated,0
6/26,2010,Takotna River,Coho,Estimated,0
6/26,2011,Takotna River,Chinook,Estimated,0
6/26,2011,Takotna River,Chum,Estimated,0
6/26,2011,Takotna River,Coho,Estimated,0
6/26,2012,Takotna River,Chinook,Estimated,0
6/26,2012,Takotna River,Chum,Estimated,0
6/26,2012,Takotna River,Coho,Estimated,0
6/26,2013,Takotna River,Chinook,Counted Live,0
6/26,2013,Takotna River,Chum,Counted Live,4
6/26,2013,Takotna River,Coho,Counted Live,0
6/26,2013,Takotna River,Sockeye,Counted Live,0
6/26,2017,Takotna River,Chinook,Estimated,0
6/26,2017,Takotna River,Chum,Estimated,0
6/27,1996,Takotna River,Chinook,Calculated,17
6/27,1996,Takotna River,Chum,Calculated,137
6/27,1997,Takotna River,Chinook,Calculated,9
6/27,1997,Takotna River,Chum,Calculated,51
6/27,2000,Takotna River,Chinook,Counted Live,1
6/27,2000,Takotna River,Chum,Counted Live,11
6/27,2000,Takotna River,Coho,Counted Live,0
6/27,2000,Takotna River,Sockeye,Counted Live,0
6/27,2001,Takotna River,Chinook,Counted Live,4
6/27,2001,Takotna River,Chum,Counted Live,12
6/27,2001,Takotna River,Coho,Counted Live,0
6/27,2001,Takotna River,Sockeye,Counted Live,0
6/27,2002,Takotna River,Chinook,Counted Live,2
6/27,2002,Takotna River,Chum,Counted Live,111
6/27,2002,Takotna River,Coho,Counted Live,0
6/27,2002,Takotna River,Sockeye,Counted Live,0
6/27,2003,Takotna River,Chinook,Estimated,0
6/27,2003,Takotna River,Chum,Estimated,0
