"","ave_p_assess"
"125",0.579811010262899
"126",0.551099785650204
"127",0.490101707147105
"128",0.537417828269633
"129",0.537100128394548
"130",0.567044837552664
"131",0.468082032981753
"132",0.737686394895515
"133",0.546306825236466
"134",0.567475634389013
"135",0.595222896245324
"136",0.687969971861927
"137",0.491903869843718
"138",0.505721506609052
"139",0.655209877798182
"140",0.554247370792992
"141",0.645217255876131
"142",0.631777730144979
"143",0.531228255359934
"144",0.585558769467105
"145",0.578717717729163
"146",0.525354382147242
"147",0.543479974843151
"148",0.604274408280803
"149",0.547538013140655
"150",0.608901046815988
"151",0.562996195023312
"152",0.528454969239486
"153",0.546978844222649
"154",0.631579671481984
"155",0.540600489446608
"156",0.516179377317467
"157",0.531651278329681
"158",0.571860743798891
"159",0.615394845814329
"160",0.562515736630036
"161",0.522667347040345
"162",0.514795747970923
"163",0.575262689768287
"164",0.633547191790552
"165",0.565629408025719
"166",0.549193064913588
"167",0.599515066443916
"168",0.535116540581767
"169",0.574377860501864
"170",0.569500288207046
"171",0.633120269636675
"172",0.601729448432626
"173",0.601778560984614
"174",0.52877755384255
"175",0.603901953988452
"176",0.480019808092644
"177",0.553290339926616
"178",0.565024190203556
"179",0.64171831919168
"180",0.635057090036693
"181",0.576312033584125
"182",0.564187622445673
"183",0.524751679290603
"184",0.50811381277387
"185",0.57260855822742
"186",0.569653416939005
"187",0.635488010561937
"188",0.715532955838613
"189",0.550500717084822
"190",0.58737241178003
"191",0.60826395402136
"192",0.627199877737971
"193",0.579090831532469
"194",0.52676752192985
"195",0.574020542763973
"196",0.549798837165928
"197",0.526648056593387
"198",0.516498557052232
"199",0.625247888667688
"200",0.587382539291763
"201",0.495679865788225
"202",0.602412073627494
"203",0.660490715327111
"204",0.622596132090801
"205",0.605488810149646
"206",0.556188666144384
"207",0.561039700138891
"208",0.525204047823475
"209",0.564413132883448
"210",0.546002813061977
"211",0.577434875729581
"212",0.535712683287888
"213",0.566859124868583
"214",0.591259600869154
"215",0.497556501056823
"216",0.583023978672357
"217",0.562750231619591
"218",0.586568941940691
"219",0.697050167304611
"220",0.673204990489903
"221",0.557091200851954
"222",0.538060652386459
"223",0.543003036878863
"224",0.469008199900985
"225",0.581325719909295
"226",0.617483890650559
"227",0.522950685397598
"228",0.52455965789005
"229",0.599368513886839
"230",0.640872599634898
"231",0.572807161072949
"232",0.621578065119903
"233",0.551759310023218
"234",0.583572369401562
"235",0.546882665635733
"236",0.536502498178077
"237",0.568856456436729
"238",0.52162003470136
"239",0.55295137826441
"240",0.686570652287427
"241",0.550764316688319
"242",0.556287071654413
"243",0.525890079908515
"244",0.506989256897374
"245",0.516503102518293
"246",0.509120198730288
"247",0.461021108472555
"248",0.507776094062237
"249",0.505344221743437
"250",0.501238567852933
"251",0.505368304770818
"252",0.564862384638506
"253",0.532013111667157
"254",0.580569012041557
"255",0.54145117970648
"256",0.533186625109118
"257",0.533865417437979
"258",0.566770800419223
"259",0.616313120651894
"260",0.503369682225795
"261",0.477921166108231
"262",0.61576521440529
"263",0.587859276657903
"264",0.612959833283423
"265",0.541243681085078
"266",0.527216759073265
"267",0.575820694109102
"268",0.608140363058373
"269",0.574775846790639
"270",0.551542170984004
"271",0.635510417905172
"272",0.571084512771365
"273",0.520099648677233
"274",0.513643592737868
"275",0.509290940540429
"276",0.56587237883838
"277",0.559602454120404
"278",0.63472081414612
"279",0.693164120524121
"280",0.556884717904466
"281",0.595984426623259
"282",0.643712657960688
"283",0.559626678552019
"284",0.579579127276634
"285",0.596946830668123
"286",0.459460326078042
"287",0.567383863886522
"288",0.599029603850442
"289",0.517401164832968
"290",0.467021479877718
"291",0.631489207136317
"292",0.613233064322634
"293",0.579364325573604
"294",0.548835321434592
"295",0.554533284617378
"296",0.540895074016797
"297",0.565561513211339
"298",0.597565744785571
"299",0.533496818285552
"300",0.428019498463086
"301",0.595710750408976
"302",0.590904398449679
"303",0.551653024239708
"304",0.528797630981451
"305",0.585543326325924
"306",0.605114285381896
"307",0.522597145193834
"308",0.508011208960111
"309",0.624173571616041
"310",0.515645271089021
"311",0.470484166963238
"312",0.595727749769594
"313",0.510763674440014
"314",0.583343315851853
"315",0.594394385818972
"316",0.508775286309905
"317",0.533817326530434
"318",0.580070671694161
"319",0.555572655816589
"320",0.500650719376126
"321",0.567344453311248
"322",0.529284535708364
"323",0.743795545365855
"324",0.528852231229753
"325",0.597809798974093
"326",0.582241971461547
