"stock","year","mean","sd","median","lwr95CI","upr95CI","cv","obs"
"Holitna",1992,22315.9316861486,3360.49143480796,22150.9374887587,16201.9308413427,29279.1686351558,0.150587099927977,1
"Holitna",1993,17360.9360914948,2614.20556385661,17233.1298129082,12611.8756694064,22775.8452511207,0.150579758492246,1
"Holitna",1994,34355.7984874122,5173.90094024488,34098.8372221711,24927.9649873491,45073.636392073,0.150597604131966,0
"Holitna",1995,20826.1223202727,3136.10491095424,20673.5385126248,15122.9707134663,27324.9363845655,0.150585157559623,1
"Holitna",1996,23960.2398010783,3608.14921321746,23782.2565846843,17392.7831306285,31436.0515493844,0.150589027621296,0
"Holitna",1997,23099.46105635,3478.5026775995,22928.4460773131,16769.3839456332,30306.9450573721,0.150588044851517,1
"Holitna",1998,10000.1742615747,1505.65837971594,9923.04875287448,7258.99086265293,13119.7061522985,0.150563214233313,0
"Holitna",1999,8179.29614772644,1231.46928516904,8114.71363319875,5936.41363567711,10729.8318895861,0.150559322333786,1
"Holitna",2000,3323.62117746434,500.695582175696,3298.22885165553,2412.14906122332,4358.92195309032,0.150647608569424,1
"Holitna",2001,45865.9552919198,6907.55273880533,45514.6730412766,33301.2628399095,60193.0572878578,0.150603049578741,1
"Holitna",2002,8091.01114826713,1218.17611695247,8027.20357466029,5872.38518038696,10613.9714482719,0.150559193978291,1
"Holitna",2003,19512.8829533155,2938.31369711019,19370.4591244571,14171.8873414864,25602.2832034493,0.150583268712271,0
"Holitna",2004,44707.2146740164,6733.02346748143,44365.2743499391,32458.3039238971,58671.041393713,0.150602615630954,1
"Holitna",2005,19424.5979538562,2925.01686098138,19282.8383489088,14107.9489635382,25486.4745862314,0.150583135256125,1
"Holitna",2006,20594.3741966921,3101.20047937663,20443.7998096404,14955.1324713522,27020.9387643685,0.150584836895639,1
"Holitna",2007,17427.1498410893,2624.17804390069,17298.8575884278,12660.0684858072,22862.8312827042,0.150579874955426,0
"Holitna",2008,13266.7192415692,1997.58801449037,13167.4074949339,9631.44323472989,17398.5016347112,0.150571364187103,0
"Holitna",2009,12251.4417477872,1844.68628167008,12159.6868336706,8892.99667047491,16069.3789703812,0.150568914226219,0
"Holitna",2010,6479.80990813471,975.597070636549,6432.09766593703,4698.89252988906,8506.8075218134,0.150559520181571,1
"Holitna",2011,5905.95741164918,889.212545564248,5861.43600122898,4286.23840675727,7755.55488801178,0.150561963723329,0
"Holitna",2012,6623.27303225609,997.194554505561,6573.95311286158,4802.10034870327,8694.96699170005,0.150559179675836,0
"Holitna",2013,5872.85053685194,884.229120823647,5828.54573378907,4262.43163885179,7712.37962132948,0.150562169984599,1
"Holitna",2014,8620.721145023,1297.93649172115,8553.20212061469,6256.55591212783,11309.1512077861,0.150560083070369,0
"Holitna",2015,7307.48177806575,1100.20395497789,7251.62825592994,5299.04026485473,9588.39184218642,0.15055856290744,1
"Holitna",2016,12770.1161196106,1922.79871008899,12674.3002061085,9270.50706561482,16748.387288028,0.150570182140804,1
"Holitna",2017,7461.98052711954,1123.46533753826,7405.06320740281,5412.15098546473,9789.32088347753,0.150558599483767,1
"Holokuk",1976,658.012414420715,120.799871131839,648.20945904774,448.850889033208,925.256343511586,0.183582966649931,0
"Holokuk",1977,1731.65406433282,309.586070532494,1702.71333599963,1208.21532753004,2420.08123722293,0.178780552599443,0
"Holokuk",1978,1075.53972271987,193.610968569808,1058.81123493903,743.519120505994,1505.64202027638,0.180012847949675,0
"Holokuk",1979,933.878671689798,168.749141811183,919.534282592901,643.342127264404,1308.8030104907,0.180697072250125,0
"Holokuk",1980,1768.9332882881,316.197312949141,1739.00429512742,1234.65136140344,2472.09670285324,0.178750275684587,0
"Holokuk",1981,1343.9501351979,240.940459699907,1322.03761967847,934.856477169774,1883.74756123575,0.179277826899753,0
"Holokuk",1982,449.248760271139,85.4456624882662,442.934723497847,299.917617188625,634.123024285325,0.190196768571373,0
"Holokuk",1983,449.248760271139,85.4456624882662,442.934723497847,299.917617188625,634.123024285325,0.190196768571373,0
"Holokuk",1984,561.086432136983,104.224500537688,552.848335835624,380.260009177459,789.564097157681,0.18575480455076,0
"Holokuk",1985,419.425381106913,80.5319860372394,413.518465902709,278.628771769982,591.846111395665,0.192005514365168,0
"Holokuk",1986,359.778622778463,70.8791750943197,354.743488087093,234.293006689679,508.720853575187,0.197007744781891,0
"Holokuk",1987,557.358509741455,103.591571538825,549.122347472119,377.615077025863,784.398697367354,0.185861648702338,0
"Holokuk",1988,523.807208181702,97.9140596690496,516.029346225447,353.892823889966,738.166596156026,0.186927667545737,0
"Holokuk",1989,598.365656092265,110.574190556172,589.691943609191,406.258010171818,842.01909920011,0.184793678297476,0
"Holokuk",1990,695.291638375997,127.224802303018,684.886382793861,474.494785436778,976.305977248983,0.182980486577084,0
"Holokuk",1991,661.740336816243,121.441296665198,651.986448517925,451.345746903251,930.280321460494,0.183518050674492,0
"Holokuk",1992,866.776068570292,157.015999724961,853.242264815087,596.106312151941,1216.42394899926,0.181149440343862,0
"Holokuk",1993,870.50399096582,157.666940025389,856.905666831155,598.550018309557,1221.41709420147,0.181121444199766,1
"Holokuk",1994,1959.05733046004,349.934755565727,1926.81342404107,1372.96337437505,2737.37732728667,0.178624050519008,0
"Holokuk",1995,1601.17678048934,286.459156732216,1574.32430384253,1116.5995562691,2238.78959451383,0.178905390224726,0
"Holokuk",1996,1366.31766957106,244.893655832283,1343.97911083907,950.836115320573,1914.0330515046,0.179236250314441,0
"Holokuk",1997,1381.22935915318,247.529726226782,1358.57654832154,961.2270170052,1934.21595995574,0.179209719650429,0
"Holokuk",1998,572.270199323568,106.12560609049,563.807124981612,388.064097195923,804.468416294297,0.185446675741515,0
"Holokuk",1999,549.902664950399,102.326915849107,541.744368519992,372.088909064397,774.189980424568,0.186081869340163,0
"Holokuk",2000,415.697458711385,79.9214000911772,409.859768808604,276.155116251116,586.71819257123,0.192258572710366,0
